response_id,source,Q2_age_group,Q3_length_of_service,Q4_job_level,imputation_count,flag_count,HL1,HL2,HL3,HL4,HL5,HL6,HL7,TC1,TC2,TC3,TC4,TC5,TC6,LE1,LE2,LE3,LE4,LE5,LE6,TE1,TE2,TE3,TE4,TE5,TE6,TE7
Digital-01,digital,25–34,Below 5 years,Officer,0,0,3,4,4,5,4,4,5,5,4,4,4,5,5,3,2,3,3,3,3,2,2,3,3,3,3,2
Digital-04,digital,35–44,5–10 years,Officer,0,0,4,4,5,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,4,5,4,5
Digital-05,digital,35–44,Above 20 years,Managerial,0,0,5,4,4,5,5,5,5,4,4,4,5,5,4,5,4,4,5,5,4,5,5,4,4,4,4,4
Digital-06,digital,45–54,11–20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
Digital-07,digital,35–44,11–20 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-08,digital,35–44,11–20 years,Officer,0,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Digital-09,digital,35–44,11–20 years,Managerial,0,0,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4
Digital-10,digital,25–34,5–10 years,Clerical,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,4,5,4,5
Digital-11,digital,25–34,5–10 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-12,digital,25–34,5–10 years,Officer,0,0,2,2,3,3,3,4,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Digital-13,digital,35–44,11–20 years,Officer,0,0,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
Digital-14,digital,35–44,5–10 years,Officer,0,0,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-15,digital,35–44,11–20 years,Officer,0,0,4,4,4,4,3,3,4,4,5,3,3,5,2,4,4,3,5,5,4,4,3,3,3,2,3,3
Digital-16,digital,35–44,5–10 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-17,digital,35–44,11–20 years,Clerical,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-18,digital,45–54,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4
Digital-19,digital,25–34,Below 5 years,Officer,0,0,4,4,4,4,4,4,4,5,5,4,4,4,4,3,3,3,3,3,3,4,5,5,5,5,4,5
Digital-20,digital,45–54,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4
Digital-21,digital,25–34,5–10 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1
Digital-22,digital,45–54,Above 20 years,Managerial,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Digital-23,digital,35–44,11–20 years,Officer,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,3,1,3
Digital-24,digital,45–54,Above 20 years,Managerial,0,0,5,4,5,5,5,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
Digital-25,digital,35–44,11–20 years,Officer,0,0,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5
Digital-26,digital,35–44,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,5,4,4,4
Digital-29,digital,35–44,11–20 years,Officer,0,0,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,4,5
Digital-31,digital,35–44,11–20 years,Officer,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4
Digital-32,digital,25–34,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5
Digital-34,digital,35–44,11–20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Digital-36,digital,35–44,11–20 years,Officer,0,0,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5
Digital-37,digital,35–44,11–20 years,Officer,0,0,3,3,3,3,3,3,3,5,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5
Digital-38,digital,55 and above,Above 20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Digital-39,digital,25–34,5–10 years,Managerial,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Digital-40,digital,25–34,5–10 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Digital-41,digital,35–44,11–20 years,Managerial,0,0,4,5,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5
Digital-42,digital,45–54,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-43,digital,35–44,11–20 years,Officer,0,0,4,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,4,5,5,5,5,5,5,5
Digital-44,digital,35–44,11–20 years,Managerial,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-45,digital,45–54,Above 20 years,Managerial,0,0,2,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
Digital-46,digital,35–44,11–20 years,Officer,0,0,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Digital-47,digital,35–44,11–20 years,Managerial,0,0,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5
Digital-50,digital,25–34,5–10 years,Officer,0,0,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5
Digital-51,digital,35–44,11–20 years,Officer,0,0,4,4,4,4,4,4,4,3,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4
Digital-52,digital,35–44,11–20 years,Officer,0,0,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4
Digital-53,digital,25–34,5–10 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-56,digital,35–44,11–20 years,Officer,0,0,1,2,3,4,5,5,4,5,4,4,4,4,4,2,5,5,5,5,5,5,4,4,4,4,4,5
Digital-58,digital,25–34,5–10 years,Managerial,0,0,4,4,5,4,5,5,5,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4
Digital-60,digital,55 and above,Above 20 years,Managerial,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-61,digital,35–44,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4
Digital-62,digital,35–44,Above 20 years,Managerial,0,0,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5
Manual-01,manual,35-44,11-20 years,Clerical,0,0,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,5
Manual-02,manual,25-34,5-10 years,Officer,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-03,manual,35-44,11-20 years,Clerical,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-04,manual,35-44,11-20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,2
Manual-06,manual,35-44,11-20,Clerical,0,0,4,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5
Manual-07,manual,35-44,11-20 years,Managerial,0,0,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-08,manual,25-34,Below 5 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-09,manual,35-44,11-20 years,Clerical,0,0,4,4,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,4
Manual-10,manual,35-44,5-10 years,Clerical,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-11,manual,35-44,11-20 years,Managerial,0,0,3,3,3,1,3,4,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,3,3,3,3,3
Manual-12,manual,25-34,5-10 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5
Manual-13,manual,45-54,Above 20 years,Clerical,0,0,4,4,5,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,5,5
Manual-14,manual,25-34,5-10 years,Clerical,0,0,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5
Manual-15,manual,45-54,11-20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-16,manual,35-44,11-20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-17,manual,25-34,5-10 years,Clerical,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5
Manual-19,manual,25-34,5-10 years,Officer,0,0,4,3,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5
Manual-21,manual,25-34,5-10 years,Clerical,0,0,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-22,manual,45-54,11-20 years,Clerical,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4
Manual-23,manual,25-34,Below 5 years,Officer,0,0,4,4,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5
Manual-24,manual,25-34,5-10 years,Officer,0,0,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-25,manual,,Above 20 years,Clerical,1,0,3,4,4,3,2,3.333,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
Manual-27,manual,45-54,11-20 years,Clerical,0,0,4,4,5,5,4,2,4,4,4,4,2,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4
Manual-28,manual,35-44,11-20 years,Officer,0,0,4,4,5,4,5,4,5,5,5,5,4,4,4,4,5,5,4,5,5,4,5,5,5,5,4,4
Manual-29,manual,35-44,11-20 years,Clerical,0,0,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5,4,5
Manual-30,manual,35-44,5-10 years,Officer,0,0,4,4,4,5,4,5,5,4,5,5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5
Manual-31,manual,25-34,11-20 years,Clerical,0,0,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-33,manual,35-44,11-20 years,Managerial,0,0,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-35,manual,35-44,11-20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,5,4,4,4,4
Manual-36,manual,35-44,5-10 years,Officer,0,0,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-37,manual,,,Clerical,0,0,5,5,4,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4
Manual-38,manual,55 and above,11-20 years,Managerial,0,0,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,4,4,5
Manual-39,manual,35-44,11-20 years,Officer,0,0,5,4,5,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-41,manual,35-44,Below 5 years,Officer,0,0,5,5,4,5,5,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5
Manual-42,manual,25-34,5-10 years,Clerical,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,5
Manual-46,manual,25-34,5-10 years,Officer,1,0,4,3,4,4.0,3,5,5,4,4,4,4,3,4,4,3,2,3,4,3,4,4,4,4,4,3,3
Manual-47,manual,25-34,5-10 years,Officer,0,0,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
Manual-48,manual,35-44,5-10 years,Officer,0,0,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,3,3
Manual-50,manual,55 and above,11-20 years,Managerial,0,0,4,4,4,5,4,5,5,4,4,4,4,4,5,3,3,4,4,4,4,4,3,3,4,4,4,4
Manual-51,manual,35-44,11-20 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-52,manual,45-54,Above 20 years,Managerial,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-53,manual,35-44,11-20 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-54,manual,25-34,5-10 years,Officer,0,0,5,5,4,5,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
Manual-55,manual,45-54,Above 20 years,Officer,0,0,5,4,5,4,4,4,4,4,5,4,4,5,4,5,4,4,5,4,4,4,5,4,5,5,5,5
Manual-56,manual,25-34,Below 5 years,Officer,0,0,3,4,2,3,2,3,3,4,4,3,4,4,2,4,4,4,4,4,4,4,2,3,4,2,2,2
Manual-57,manual,25-34,5-10 years,Officer,0,0,4,4,4,5,5,5,5,5,5,4,5,4,4,5,5,4,5,4,4,5,4,4,4,4,4,4
Manual-58,manual,35-44,11-20 years,Officer,0,0,2,2,1,2,1,1,1,2,1,2,2,2,1,2,5,5,5,4,5,4,4,4,5,5,4,5
Manual-60,manual,35-44,11-20 years,Officer,0,0,4,3,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4
Manual-62,manual,35-44,11-20 years,Officer,0,0,4,3,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
Manual-63,manual,25-34,Below 5 years,Clerical,0,0,4,2,4,4,1,4,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
Manual-64,manual,35-44,5-10 years,Officer,0,0,4,5,4,5,4,4,4,5,4,4,5,4,5,4,5,4,4,5,4,4,4,4,5,5,5,4
Manual-65,manual,35-44,11-20 years,Clerical,0,0,5,4,4,4,5,5,5,4,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,4,4,5
Manual-66,manual,35-44,11-20 years,Clerical,0,0,5,5,4,4,4,5,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,4,5,5,5,5
Manual-67,manual,35-44,11-20 years,Officer,0,0,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,5,5,4,4,4,4
Manual-68,manual,35-44,11-20 years,Clerical,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-70,manual,25-34,Below 5 years,Officer,0,0,5,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,5,3,5,4,5,5,4,5,4,5
