response_id,source,source_reference,eligibility,data_status,included_in_final_analysis,exclusion_reason,flag_count,flags,imputation_count,imputation_detail
Digital-01,digital,Google Forms workbook row 2; timestamp 2026-09-19 12:15:35.369000,Yes,retained,Yes,,0,,0,[]
Digital-02,digital,Google Forms workbook row 3; timestamp 2026-09-19 13:43:26.122000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-03,digital,Google Forms workbook row 4; timestamp 2026-09-19 14:41:00.915000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-04,digital,Google Forms workbook row 5; timestamp 2026-09-19 14:43:44.055000,Yes,retained,Yes,,0,,0,[]
Digital-05,digital,Google Forms workbook row 6; timestamp 2026-09-19 15:17:03.537000,Yes,retained,Yes,,0,,0,[]
Digital-06,digital,Google Forms workbook row 7; timestamp 2026-09-19 16:57:01.192000,Yes,retained,Yes,,0,,0,[]
Digital-07,digital,Google Forms workbook row 8; timestamp 2026-09-19 17:00:28.909000,Yes,retained,Yes,,0,,0,[]
Digital-08,digital,Google Forms workbook row 9; timestamp 2026-09-19 17:15:01.164000,Yes,retained,Yes,,0,,0,[]
Digital-09,digital,Google Forms workbook row 10; timestamp 2026-09-19 18:33:08.287000,Yes,retained,Yes,,0,,0,[]
Digital-10,digital,Google Forms workbook row 11; timestamp 2026-09-19 18:53:24.073000,Yes,retained,Yes,,0,,0,[]
Digital-11,digital,Google Forms workbook row 12; timestamp 2026-09-19 18:57:35.204000,Yes,retained,Yes,,0,,0,[]
Digital-12,digital,Google Forms workbook row 13; timestamp 2026-09-19 19:12:10.828000,Yes,retained,Yes,,0,,0,[]
Digital-13,digital,Google Forms workbook row 14; timestamp 2026-09-19 19:16:15.969000,Yes,retained,Yes,,0,,0,[]
Digital-14,digital,Google Forms workbook row 15; timestamp 2026-09-19 19:16:54.582000,Yes,retained,Yes,,0,,0,[]
Digital-15,digital,Google Forms workbook row 16; timestamp 2026-09-19 19:22:42.652000,Yes,retained,Yes,,0,,0,[]
Digital-16,digital,Google Forms workbook row 17; timestamp 2026-09-19 19:29:23.820000,Yes,retained,Yes,,0,,0,[]
Digital-17,digital,Google Forms workbook row 18; timestamp 2026-09-19 19:45:55.248000,Yes,retained,Yes,,0,,0,[]
Digital-18,digital,Google Forms workbook row 19; timestamp 2026-09-19 20:17:32.063000,Yes,retained,Yes,,0,,0,[]
Digital-19,digital,Google Forms workbook row 20; timestamp 2026-09-19 20:29:47.594000,Yes,retained,Yes,,0,,0,[]
Digital-20,digital,Google Forms workbook row 21; timestamp 2026-09-19 21:00:15.950000,Yes,retained,Yes,,0,,0,[]
Digital-21,digital,Google Forms workbook row 22; timestamp 2026-09-19 21:08:10.494000,Yes,retained,Yes,,0,,0,[]
Digital-22,digital,Google Forms workbook row 23; timestamp 2026-09-19 21:08:50.891000,Yes,retained,Yes,,0,,0,[]
Digital-23,digital,Google Forms workbook row 24; timestamp 2026-09-19 22:47:47.552000,Yes,retained,Yes,,0,,0,[]
Digital-24,digital,Google Forms workbook row 25; timestamp 2026-09-19 23:10:20.978000,Yes,retained,Yes,,0,,0,[]
Digital-25,digital,Google Forms workbook row 26; timestamp 2026-09-20 06:02:27.174000,Yes,retained,Yes,,0,,0,[]
Digital-26,digital,Google Forms workbook row 27; timestamp 2026-09-20 08:11:46.176000,Yes,retained,Yes,,0,,0,[]
Digital-27,digital,Google Forms workbook row 28; timestamp 2026-09-20 08:50:33.839000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-28,digital,Google Forms workbook row 29; timestamp 2026-09-20 08:51:40.400000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-29,digital,Google Forms workbook row 30; timestamp 2026-09-20 09:01:32.347000,Yes,retained,Yes,,0,,0,[]
Digital-30,digital,Google Forms workbook row 31; timestamp 2026-09-20 09:04:59.524000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-31,digital,Google Forms workbook row 32; timestamp 2026-09-20 11:21:15.088000,Yes,retained,Yes,,0,,0,[]
Digital-32,digital,Google Forms workbook row 33; timestamp 2026-09-20 12:12:08.743000,Yes,retained,Yes,,0,,0,[]
Digital-33,digital,Google Forms workbook row 34; timestamp 2026-09-20 12:20:38.281000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-34,digital,Google Forms workbook row 35; timestamp 2026-09-20 12:24:16.974000,Yes,retained,Yes,,0,,0,[]
Digital-35,digital,Google Forms workbook row 36; timestamp 2026-09-20 12:31:11.050000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-36,digital,Google Forms workbook row 37; timestamp 2026-09-20 12:48:19.478000,Yes,retained,Yes,,0,,0,[]
Digital-37,digital,Google Forms workbook row 38; timestamp 2026-09-20 13:34:28.390000,Yes,retained,Yes,,0,,0,[]
Digital-38,digital,Google Forms workbook row 39; timestamp 2026-09-20 13:47:55.345000,Yes,retained,Yes,,0,,0,[]
Digital-39,digital,Google Forms workbook row 40; timestamp 2026-09-20 14:41:37.116000,Yes,retained,Yes,,0,,0,[]
Digital-40,digital,Google Forms workbook row 41; timestamp 2026-09-20 14:57:16.592000,Yes,retained,Yes,,0,,0,[]
Digital-41,digital,Google Forms workbook row 42; timestamp 2026-09-20 15:59:36.168000,Yes,retained,Yes,,0,,0,[]
Digital-42,digital,Google Forms workbook row 43; timestamp 2026-09-20 16:40:05.161000,Yes,retained,Yes,,0,,0,[]
Digital-43,digital,Google Forms workbook row 44; timestamp 2026-09-20 16:42:15.573000,Yes,retained,Yes,,0,,0,[]
Digital-44,digital,Google Forms workbook row 45; timestamp 2026-09-20 17:49:38.415000,Yes,retained,Yes,,0,,0,[]
Digital-45,digital,Google Forms workbook row 46; timestamp 2026-09-20 18:16:05.087000,Yes,retained,Yes,,0,,0,[]
Digital-46,digital,Google Forms workbook row 47; timestamp 2026-09-20 20:03:37.536000,Yes,retained,Yes,,0,,0,[]
Digital-47,digital,Google Forms workbook row 48; timestamp 2026-09-20 20:11:53.849000,Yes,retained,Yes,,0,,0,[]
Digital-48,digital,Google Forms workbook row 49; timestamp 2026-09-20 20:23:23.890000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-49,digital,Google Forms workbook row 50; timestamp 2026-09-20 20:59:28.069000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-50,digital,Google Forms workbook row 51; timestamp 2026-09-20 21:08:23.956000,Yes,retained,Yes,,0,,0,[]
Digital-51,digital,Google Forms workbook row 52; timestamp 2026-09-20 21:14:54.132000,Yes,retained,Yes,,0,,0,[]
Digital-52,digital,Google Forms workbook row 53; timestamp 2026-09-20 21:17:31.355000,Yes,retained,Yes,,0,,0,[]
Digital-53,digital,Google Forms workbook row 54; timestamp 2026-09-20 21:20:52.416000,Yes,retained,Yes,,0,,0,[]
Digital-54,digital,Google Forms workbook row 55; timestamp 2026-09-20 21:28:31.299000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-55,digital,Google Forms workbook row 56; timestamp 2026-09-20 21:39:38.589000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-56,digital,Google Forms workbook row 57; timestamp 2026-09-20 21:41:41.203000,Yes,retained,Yes,,0,,0,[]
Digital-57,digital,Google Forms workbook row 58; timestamp 2026-09-20 21:51:07.642000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
