Response_ID,Pilot_ID,Q1_Eligibility,Q2_Age_Group,Q3_Service_Length,Q4_Job_Level,Q5_Hybrid_Learning,Q6_Hybrid_Learning,Q7_Hybrid_Learning,Q8_Hybrid_Learning,Q9_Hybrid_Learning,Q10_Hybrid_Learning,Q11_Hybrid_Learning,Q12_Trainer_Competence,Q13_Trainer_Competence,Q14_Trainer_Competence,Q15_Trainer_Competence,Q16_Trainer_Competence,Q17_Trainer_Competence,Q18_Engagement,Q19_Engagement,Q20_Engagement,Q21_Engagement,Q22_Engagement,Q23_Engagement,Q24_Outcomes,Q25_Outcomes,Q26_Outcomes,Q27_Outcomes,Q28_Outcomes,Q29_Outcomes,Q30_Outcomes,Pilot_Q1_Completion_Time_Min,Pilot_Q2,Pilot_Q3,Pilot_Q4,Pilot_Q5,Pilot_Q6,Pilot_Q7_Unclear_YN,Pilot_Q7_Unclear_QNum,Pilot_Q7_Unclear_Reason,Pilot_Q8_Repetitive_YN,Pilot_Q8_Repetitive_QNum,Pilot_Q8_Repetitive_Reason,Pilot_Q9_Difficult_YN,Pilot_Q9_Difficult_QNum,Pilot_Q9_Difficult_Reason,Pilot_Q10_Comments
R001,PILOT-0001,Yes,25-34,11-20 years,Clerical,5,5,5,5,5,5,5,4,4,5,4,4,5,4,4,4,5,4,4,4,4,3,4,3,3,4,25,Extremely clear,Extremely understandable,Extremely appropriate,Extremely clear,Just right,No,,,No,,,No,,,Clear and straightforward. No suggested changes.
R002,PILOT-0002,Yes,55 and above,Below 5 years,Officer,4,4,4,4,5,4,4,5,4,5,5,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,15,Very clear,Very understandable,Extremely appropriate,Very clear,Too long,No,,,No,,,No,,,
R003,PILOT-0003,Yes,35-44,5-10 years,Clerical,4,3,4,4,4,4,4,5,5,5,5,5,4,4,4,3,4,3,3,5,5,5,5,5,5,4,15,Very clear,Very understandable,Extremely appropriate,Extremely clear,Just right,No,,,No,,,No,,,Good length. Took about 15 minutes to complete.
R004,PILOT-0004,Yes,35-44,5-10 years,Managerial,3,3,3,3,3,3,4,4,4,4,4,3,3,5,3,5,4,4,4,4,3,4,3,4,4,3,14,Extremely clear,Very understandable,Very appropriate,Extremely clear,Just right,No,,,No,,,No,,,
R005,PILOT-0005,Yes,25-34,5-10 years,Clerical,5,5,4,4,4,3,4,4,4,5,3,4,4,3,3,4,4,3,3,5,4,5,4,5,4,5,15,Very clear,Very understandable,Very appropriate,Extremely clear,Just right,No,,,No,,,No,,,
R006,PILOT-0006,Yes,25-34,11-20 years,Officer,5,5,5,5,5,5,5,4,4,5,4,4,5,3,3,4,3,3,3,5,5,5,4,4,5,5,21,Very clear,Extremely understandable,Extremely appropriate,Very clear,Just right,No,,,No,,,No,,,Maybe add examples of hybrid learning programmes.
R007,PILOT-0007,Yes,Below 25,Below 5 years,Officer,4,4,4,3,4,3,3,3,3,2,3,3,3,4,5,5,5,5,4,4,4,4,4,4,3,4,13,Very clear,Very understandable,Moderately appropriate,Extremely clear,Too long,No,,,Yes,15,Overlapped with Q14 about trainer explaining connections,No,,,
R008,PILOT-0008,Yes,45-54,11-20 years,Officer,4,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,4,3,3,3,2,5,3,8,Very clear,Extremely understandable,Very appropriate,Very clear,Just right,No,,,No,,,Yes,24,Mixed experiences across different training sessions,Very well structured questionnaire. Easy to follow.
R009,PILOT-0009,Yes,35-44,11-20 years,Officer,5,5,5,5,4,5,5,4,4,4,4,5,5,3,4,4,4,3,3,4,4,4,5,5,4,4,22,Not at all clear,Very understandable,Extremely appropriate,Extremely clear,Just right,No,,,No,,,No,,,
R010,PILOT-0010,Yes,35-44,Below 5 years,Clerical,4,4,3,5,3,5,4,5,5,5,5,4,5,4,4,3,3,4,4,5,5,4,4,4,5,5,8,Very clear,Very understandable,Very appropriate,Very clear,Just right,No,,,No,,,No,,,
