Response_ID,Pilot_ID,Q1_Eligibility,Q2_Age_Group,Q3_Service_Length,Q4_Job_Level,Q5_Hybrid_Learning,Q6_Hybrid_Learning,Q7_Hybrid_Learning,Q8_Hybrid_Learning,Q9_Hybrid_Learning,Q10_Hybrid_Learning,Q11_Hybrid_Learning,Q12_Trainer_Competence,Q13_Trainer_Competence,Q14_Trainer_Competence,Q15_Trainer_Competence,Q16_Trainer_Competence,Q17_Trainer_Competence,Q18_Engagement,Q19_Engagement,Q20_Engagement,Q21_Engagement,Q22_Engagement,Q23_Engagement,Q24_Outcomes,Q25_Outcomes,Q26_Outcomes,Q27_Outcomes,Q28_Outcomes,Q29_Outcomes,Pilot_Q1_Completion_Time_Min,Pilot_Q2,Pilot_Q3,Pilot_Q4,Pilot_Q5,Pilot_Q6,Pilot_Q7_Unclear_YN,Pilot_Q7_Unclear_QNum,Pilot_Q7_Unclear_Reason,Pilot_Q8_Repetitive_YN,Pilot_Q8_Repetitive_QNum,Pilot_Q8_Repetitive_Reason,Pilot_Q9_Difficult_YN,Pilot_Q9_Difficult_QNum,Pilot_Q9_Difficult_Reason,Pilot_Q10_Comments
R001,PILOT-0001,Yes,25-34,11-20 years,Clerical,4,3,5,3,1,4,5,4,4,2,4,3,5,4,4,4,5,5,3,5,5,4,4,4,1,9,Very clear,Extremely understandable,Very appropriate,Extremely clear,Too short,No,,,No,,,No,,,
R002,PILOT-0002,Yes,55 and above,Below 5 years,Officer,5,4,4,2,5,4,5,5,4,2,2,5,4,4,4,4,4,2,3,1,4,4,4,4,4,18,Extremely clear,Extremely understandable,Very appropriate,Extremely clear,Too short,No,,,No,,,No,,,
R003,PILOT-0003,Yes,35-44,5-10 years,Clerical,3,5,5,5,4,4,2,5,5,3,5,4,4,4,5,4,4,4,5,4,3,4,5,1,5,14,Very clear,Extremely understandable,Extremely appropriate,Extremely clear,Far too short,No,,,No,,,No,,,The terminology was consistent throughout.
R004,PILOT-0004,Yes,35-44,5-10 years,Managerial,4,5,4,5,5,4,3,3,5,4,4,5,4,5,4,4,2,3,4,4,4,4,3,2,4,13,Slightly clear,Extremely understandable,Extremely appropriate,Extremely clear,Too long,No,,,No,,,Yes,5,"Attended multiple programmes, hard to choose one",Some questions about Union Vidya could be clearer for those who used other platforms.
R005,PILOT-0005,Yes,25-34,5-10 years,Clerical,5,5,2,5,5,5,5,4,5,5,3,4,4,1,4,1,4,5,5,3,1,4,4,2,4,9,Very clear,Extremely understandable,Extremely appropriate,Extremely clear,Too short,No,,,No,,,No,,,
R006,PILOT-0006,Yes,25-34,11-20 years,Officer,4,5,5,4,5,3,4,5,5,2,4,5,2,4,4,4,3,2,4,1,4,1,5,4,4,13,Extremely clear,Extremely understandable,Very appropriate,Extremely clear,Far too short,No,,,No,,,No,,,
R007,PILOT-0007,Yes,Below 25,Below 5 years,Officer,5,4,4,3,4,5,3,5,2,4,4,4,4,4,4,1,5,4,4,1,5,5,1,4,5,25,Very clear,Extremely understandable,Very appropriate,Extremely clear,Far too short,No,,,No,,,No,,,
R008,PILOT-0008,Yes,45-54,11-20 years,Officer,3,4,4,3,4,5,4,4,4,2,4,4,5,4,5,2,5,5,2,3,2,5,2,5,4,9,Extremely clear,Very understandable,Extremely appropriate,Moderately clear,Far too short,No,,,No,,,No,,,
R009,PILOT-0009,Yes,35-44,11-20 years,Officer,5,2,5,5,5,5,4,5,3,2,5,5,4,4,4,5,3,2,4,4,5,1,1,5,4,25,Extremely clear,Extremely understandable,Very appropriate,Very clear,Far too short,No,,,Yes,15,Similar to another question,No,,,Maybe reduce the number of questions slightly.
R010,PILOT-0010,Yes,35-44,Below 5 years,Clerical,1,4,5,4,5,4,5,5,4,3,5,4,5,5,4,5,3,5,5,5,1,2,3,2,3,22,Extremely clear,Extremely understandable,Very appropriate,Very clear,Far too short,No,,,No,,,Yes,29,"Attended multiple programmes, hard to choose one",The five-point scale worked well.
R011,PILOT-0011,Yes,Below 25,11-20 years,Other,4,5,5,4,2,4,5,4,4,5,4,5,4,4,4,5,1,5,5,3,5,4,4,3,4,9,Extremely clear,Very understandable,Extremely appropriate,Very clear,Far too short,No,,,Yes,6,Did not apply to my situation,No,,,
R012,PILOT-0012,Yes,55 and above,Below 5 years,Managerial,5,4,5,5,5,5,2,4,4,4,4,5,5,3,2,5,4,1,3,4,1,4,4,1,2,13,Extremely clear,Very understandable,Extremely appropriate,Very clear,Far too short,No,,,No,,,No,,,"Consider adding a ""Not Applicable"" option for some questions."
R013,PILOT-0013,Yes,45-54,Below 5 years,Managerial,5,4,2,5,5,4,2,4,4,3,3,3,5,5,4,5,4,1,4,4,5,5,1,1,4,8,Extremely clear,Extremely understandable,Very appropriate,Extremely clear,Far too short,No,,,No,,,No,,,Good length. Took about 15 minutes to complete.
R014,PILOT-0014,Yes,25-34,Above 20 years,Managerial,3,4,3,5,4,5,4,5,4,5,3,5,2,5,5,4,3,4,5,1,2,5,2,4,4,22,Very clear,Very understandable,Moderately appropriate,Very clear,Just right,No,,,No,,,No,,,
R015,PILOT-0015,Yes,25-34,Above 20 years,Officer,4,4,4,2,1,4,5,4,5,5,4,5,3,5,5,5,4,4,5,5,4,4,5,3,2,17,Extremely clear,Very understandable,Very appropriate,Very clear,Far too short,No,,,No,,,No,,,Very comprehensive. Covered all important aspects.
R016,PILOT-0016,Yes,25-34,Above 20 years,Managerial,4,4,3,5,5,5,5,5,4,4,4,4,4,5,4,5,1,4,4,4,1,4,5,1,4,24,Extremely clear,Extremely understandable,Very appropriate,Very clear,Too short,No,,,No,,,No,,,Would be helpful to have examples of hybrid learning programmes.
R017,PILOT-0017,Yes,25-34,5-10 years,Clerical,4,4,3,4,4,4,4,5,5,2,4,4,4,2,5,3,2,5,5,5,5,4,4,2,5,12,Moderately clear,Moderately understandable,Extremely appropriate,Very clear,Too short,Yes,15,Not sure what was being asked,No,,,No,,,
R018,PILOT-0018,Yes,35-44,Below 5 years,Clerical,5,4,5,4,4,4,2,4,5,4,4,5,5,4,4,5,4,5,3,4,4,5,3,5,5,11,Very clear,Moderately understandable,Very appropriate,Extremely clear,Too long,No,,,No,,,No,,,The instructions were clear. No issues.
R019,PILOT-0019,Yes,25-34,11-20 years,Clerical,4,5,2,4,5,2,2,4,4,4,4,4,5,4,1,3,3,4,4,5,1,1,1,4,3,17,Very clear,Extremely understandable,Very appropriate,Extremely clear,Far too short,No,,,No,,,No,,,
R020,PILOT-0020,Yes,25-34,5-10 years,Officer,5,5,4,1,4,5,4,3,5,5,4,5,5,5,4,5,3,3,5,5,4,1,5,5,4,24,Extremely clear,Extremely understandable,Extremely appropriate,Extremely clear,Too short,No,,,No,,,No,,,Very well structured questionnaire. Easy to follow.
